"Reward Points","نقاط الولاء"
%1 days,%1 أيام
%1 day,%1 يوم
ID,معرف
Title,عنوان
Action,فعل
Amount,كمية
Status,حالة
Store View,عرض المتجر
Created On,"انشات في 
"
Expire On,تنتهي في
Reward Account Enable,تمكين حساب المكافآت
Enable Reward Account,تفعيل حساب المكافآت
Balance Information,معلومات الرصيد
Current Balance:,الرصيد الحالي:
Total Earning Points:,مجموع النقاط المكتسبة:
Total Spending Points:,مجموع نقاط الإنفاق:
Update Balance,تحديث الرصيد
Update Points,نقاط التحديث
Comment,تعليق
Points expire after,تنتهي صلاحية النقاط بعد
"Day(s) since the transaction date. If empty or 0, there is no expiration",يوم (أيام) منذ تاريخ المعاملة. إذا كانت فارغة أو 0 ، فلا يوجد انتهاء صلاحية
Email Notification,إشعارات البريد الإلكتروني
Subscribe to balance update,اشترك لتحديث الرصيد
Subscribe to points expiration notification,اشترك في إشعار انتهاء صلاحية النقاط
Transactions,المعاملات
Reward Points,نقاط مكافأة
Save and Continue Edit,حفظ ومتابعة التعديل
Earning Rate Information,معلومات معدل الربح
Spending Rate Information,معلومات معدل الإنفاق
Website,موقع الكتروني
Customer Group(s),مجموعة (مجموعات) العملاء
Earning Rate,معدل الكسب
Spending Rate,معدل الإنفاق
The ratio of spends to points earned for that,نسبة الإنفاق إلى النقاط المكتسبة لذلك
The ratio of points spent to a discount,نسبة النقاط المصروفة إلى الخصم
Min Point,نقطة الحد الأدنى
Priority,أولوية
"If you have similar rates, set the priority of this one (lower number means higher priority with 0 being the highest)",إذا كانت لديك أسعار متشابهة ، فقم بتعيين أولوية هذا (الرقم الأقل يعني أولوية أعلى مع كون القيمة 0 هي الأعلى)
Point(s),نقطة(نقاط)
First Name,الاسم الأول
Last Name,الاسم الأخير
Email,البريد الإلكتروني
Group,مجموعة
Expire,تنتهي
Cancel,إلغاء
This action can not be restored. Are you sure?,لا يمكن استعادة هذا الإجراء. هل أنت متأكد؟
Transaction Information,معلومات العملية التجارية
Customer,عميل
Point Amount,كمية النقاط
Created At,أنشأت في
Customer Id,معرف العميل
This comment will not be translated.,لن تتم ترجمة هذا التعليق.
"day(s) since the transaction date. If empty or 0, there is no expiration.",يوم (أيام) منذ تاريخ المعاملة. إذا كانت فارغة أو 0 ، فلا يوجد انتهاء صلاحية.
Earned,اكتسب
Spent,أنفق
This item does not exists.,هذا العنصر غير موجود.
The earning rate has been saved successfully.,تم حفظ معدل الكسب بنجاح.
The spending rate has been saved successfully.,تم حفظ معدل الإنفاق بنجاح.
An error occurred while saving the rate. Please try again later.' .,حدث خطأ أثناء حفظ السعر. الرجاء معاودة المحاولة في وقت لاحق.
The earning rate has been deleted successfully.,تم حذف معدل الكسب بنجاح.
The spending rate has been deleted successfully.,تم حذف معدل الإنفاق بنجاح.
An error occurred while deleting the rate. Please try again later.,حدث خطأ أثناء حذف السعر. الرجاء معاودة المحاولة في وقت لاحق.
Cannot delete the rate #%1,لا يمكن حذف المعدل #%1
A total of %1 record(s) have been deleted.,تم حذف إجمالي%1سجل (سجلات).
Something went wrong while updating the transaction.' .,حدث خطأ ما أثناء تحديث المعاملة
A total of %1 record(s) have been cancelled.,تم إلغاء إجمالي%1سجل (سجلات).
A total of %1 record(s) have been completed.,تم إكمال%1سجل (سجلات).
No transaction was updated.,لم يتم تحديث أي معاملة.
Edit Earning Rate #%1,تحرير معدل الكسب #%1
Add Earning Rate,أضف معدل الربح
Edit Spending Rate #%1,تعديل معدل الإنفاق #%1
Add Spending Rate,أضف معدل الإنفاق
