"Invalid Request.","Invalid Request."
"The shipment no longer exists.","The shipment no longer exists."
"You are not authorize to view this shipment.","You are not authorize to view this shipment."
"This order no longer exists.","This order no longer exists."
"You are not authorize to manage this order.","You are not authorize to manage this order."
"invalid seller","invalid seller"
"Please specify a carrier.","Please specify a carrier."
"Please enter a tracking number.","Please enter a tracking number."
"Tracking information has been successfully saved.","Tracking information has been successfully saved."
"We can't initialize shipment for adding tracking number.","We can't initialize shipment for adding tracking number."
"Invalid Request","Invalid Request"
"Congratulations! Your seller account is created.","Congratulations! Your seller account is created."
"Your request to become seller is successfully raised.","Your request to become seller is successfully raised."
"Shop URL already exist please set another.","Shop URL already exist please set another."
"Your mail has been sent.","Your mail has been sent."
"The credit memo's total must be positive.","The credit memo's total must be positive."
"Cannot create online refund for Refund to Store Credit.","Cannot create online refund for Refund to Store Credit."
"You created the credit memo.","You created the credit memo."
"We can't save the credit memo right now.","We can't save the credit memo right now."
"Can not create invoice as order is in HOLD state","Can not create invoice as order is in HOLD state"
"you are not authorize to create invoice","you are not authorize to create invoice"
"We can't save the invoice right now.","We can't save the invoice right now."
"You can't create an invoice without products.","You can't create an invoice without products."
"Invoice has been created for this order.","Invoice has been created for this order."
"You cannot create invoice for this order.","You cannot create invoice for this order."
"Cannot create Invoice for this order.","Cannot create Invoice for this order."
"Can not create shipment as order is in HOLD state","Can not create shipment as order is in HOLD state"
"Cannot do shipment for the order separately from invoice.","Cannot do shipment for the order separately from invoice."
"Cannot do shipment for the order.","Cannot do shipment for the order."
"The shipment has been created.","The shipment has been created."
"The shipping label has been created.","The shipping label has been created."
"New Credit Memo","New Credit Memo"
"Order #%1","Order #%1"
"Buyer Information","Buyer Information"
"Customer Name","Customer Name"
Email,Email
"Order Information","Order Information"
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"No shipping information available","No shipping information available"
"Billing Address","Billing Address"
"Payment Method","Payment Method"
"ITEMS TO REFUND","ITEMS TO REFUND"
"Product Name","Product Name"
Price,Price
Qty,Qty
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
Subtotal,Subtotal
"COD Charges","COD Charges"
"Tax Amount","Tax Amount"
"Discount Amount","Discount Amount"
"Row Total","Row Total"
Ordered,Ordered
Invoiced,Invoiced
Shipped,Shipped
Canceled,Canceled
Refunded,Refunded
"Paid Amount","Paid Amount"
"Refund Amount","Refund Amount"
"Shipping Amount","Shipping Amount"
"Shipping Refund","Shipping Refund"
"Order Grand Total","Order Grand Total"
"Credit Memo Comments","Credit Memo Comments"
"Refund Totals","Refund Totals"
Discount,Discount
"Total Tax","Total Tax"
"Refund Shipping","Refund Shipping"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","Grand Total"
"Append Comments","Append Comments"
"Visible on Frontend","Visible on Frontend"
"Email Copy of Credit Memo","Email Copy of Credit Memo"
Refund,Refund
"Refund Offline","Refund Offline"
"Creditmemo List","Creditmemo List"
"View All Memos","View All Memos"
Status,Status
Amount,Amount
Action,Action
"Created At","Created At"
"Credit Memos #","Credit Memos #"
"Tracking information has been successfulley deleted.","Tracking information has been successfulley deleted."
"We can't load track with retrieving identifier right now.","We can't load track with retrieving identifier right now."
"There are no printable documents related to selected date range.","There are no printable documents related to selected date range."
"We can't print the shipment right now.","We can't print the shipment right now."
None,None
"%1 Products","%1 Products"
"Failed to print the creditmemo.","Failed to print the creditmemo."
"The creditmemo no longer exists.","The creditmemo no longer exists."
"You are not authorize to view this creditmemo.","You are not authorize to view this creditmemo."
"Failed to print the invoice.","Failed to print the invoice."
"The invoice no longer exists.","The invoice no longer exists."
"You are not authorize to view this invoice.","You are not authorize to view this invoice."
"Failed to print the Shipping.","Failed to print the Shipping."
"Product has been successfully deleted from your account.","Product has been successfully deleted from your account."
"Invalid Product.","Invalid Product."
"Products are successfully deleted from your account.","Products are successfully deleted from your account."
Enabled,Enabled
Disabled,Disabled
Approved,Approved
Pending,Pending
"Information was successfully saved","Information was successfully saved"
"Profile information was successfully saved, except image(s).","Profile information was successfully saved, except image(s)."
"Profile information was successfully saved.","Profile information was successfully saved."
"Twitterid cannot contain space and special characters, allowed special carecters are @,#,_,-","Twitterid cannot contain space and special characters, allowed special carecters are @,#,_,-"
"Facebookid cannot contain space and special characters, allowed special carecters are @,#,_,-","Facebookid cannot contain space and special characters, allowed special carecters are @,#,_,-"
